# List of Swedish profanities
# List of sources:
#	SALDO: children of 'svordom', 'sexuell', 'narkotika', 'neger', 'mörda', 'självmord', 'toalett', 'avföring', 'urin'
# 	Wikipedia: https://en.wikipedia.org/wiki/Swedish_profanity, 13/07/2015
#	manual:	   manually added (occasionally English terms)
#	http://www.youswear.com/?language=Swedish (with an above 80% rating only)
#
# LEMMA	SOURCE	DOMAIN
kacka	SALDO	secretion
latrin	SALDO	secretion
skit	SALDO	secretion
spillning	SALDO	secretion
stolgång	SALDO	secretion
träck	SALDO	secretion
analinkonsistens	SALDO	secretion
avföringinkonsistens	SALDO	secretion
gödsel	SALDO	secretion
lavemang	SALDO	secretion
lös_i_magen	SALDO	secretion
lösande	SALDO	secretion
naturbehov	SALDO	secretion
bajsa	SALDO	secretion
bajs	SALDO	secretion
baja	SALDO	secretion
bajsande	SALDO	secretion
obajsad	SALDO	secretion
bajskorv	SALDO	secretion
hundbajs	SALDO	secretion
hästbajs	SALDO	secretion
bajsa_ner	SALDO	secretion
bajs_brun	SALDO	secretion
bajshög	SALDO	secretion
utsöndra	SALDO	secretion
urin	SALDO	secretion
blodstallning	SALDO	secretion
kissa	SALDO	secretion
urinera	SALDO	secretion
urinämne	SALDO	secretion
vargurin	SALDO	secretion
albuminuri	SALDO	secretion
argininbärnstensaciduri	SALDO	secretion
inkontinens	SALDO	secretion
uribag	SALDO	secretion
uridom	SALDO	secretion
urinavsöndring	SALDO	secretion
urinblåsa	SALDO	secretion
urinfläckad	SALDO	secretion
urinförgiftning	SALDO	secretion
urinledare	SALDO	secretion
urinorgan	SALDO	secretion
urinprov	SALDO	secretion
urinrör	SALDO	secretion
urinsyra	SALDO	secretion
urinväg	SALDO	secretion
kiss	SALDO	secretion
håla_sig	SALDO	secretion
kissa_på_sig	SALDO	secretion
kissande	SALDO	secretion
knipa_ihop	SALDO	secretion
bäcken	SALDO	secretion
kissnödig	SALDO	secretion
